valley,site,tomb,unique_ID,period,sex,probable_sex ,dimorphism_index,age_categ,peri-mortem,#_peri,overkill,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sector,occipital,occipital_sector,ante-mortem,#_ante,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sectr,occipital,sum_traumas,trauma,critical_trauma,AMS Subset,valley,site,tomb,unique_ID,mod_cranium,mod_style,C14_RangeBP,Cal_medianBP,C14_RangeAD,main_period,phase
Aja,Ayaorcco,C4,Cr80,LIP,Female,,6,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C3,Cr160,Y,AO,631 - 549    ,603,1285 - 1398,LIP,PIII
Aja,Ayaorcco,C4,Cr81,LIP,Male,,14,Old Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C3,Cr161,N,NA,657 - 570   ,606,1262 - 1381,LIP,PIII
Aja,Ayaorcco,C4,Cr82,LIP,Ind,,10,Middle Adult,N,0,N,,,,,,,,,,Y,1,P,,,X,R,,,,1,Y,N,,Tierras Blancas,Ayapata,C3,Cr162,Y,AO,630 - 559  ,608,1320 - 1391,LIP,PIII
Aja,Ayaorcco,C4,Cr83,LIP,Female,,4,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C3,Cr166,N,NA,633 - 554      ,606,1279 - 1394,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr84,LIP,Female,,8,Adolescent,Y,3,N,P,,,"X, X, X","L, R,  R",X,R,"X, X",,Y,2,P,,,"X, X","R, R",,,X,5,Y,Y,,Tierras Blancas,Ayapata,C3,Cr170,Y,AO,539 - 522,531,1411 - 1428,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr85,LIP,Female,,6,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C3,Cr175,N,NA,622 - 541   ,555,1328 - 1409,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr86,LIP,Female,,5,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C3,Cr178,Y,AO,649 - 564     ,600,1301 - 1386,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr87,LIP,Female,,4,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C3,Cr179,Y,AO,629 - 556,608,1321 - 1394,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr88,LIP,Ind,,NA,Child,Y,1,N,A,,,X,L,X,L,X,,N,0,,,,,,,,,1,Y,Y,,Tierras Blancas,Ayapata,C3,Cr181,Y,AO,630 - 557     ,608,1320 - 1393,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr89,LIP,Female,,5,Middle Adult,Y,1,N,A,X,R,,,,,,,Y,1,A,X,L,,,,,,2,Y,Y,,Tierras Blancas,Ayapata,C3,Cr184,Y,AO,630 - 557    ,608,1320 - 1393,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr90,LIP,Ind,,NA,Child,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C3,Cr194,Y,AO,541 - 524    ,533,1409 - 1426,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr91,LIP,Ind,,NA,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C3,Cr195,Y,AE,557 - 541     ,551,1393 - 1409,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr92,LIP,Ind,,10,Old Adult,Y,3,Y,P,,,"X, X, X","R, L, L",X,L,"X, X",,Y,2,A,"X, X","L, R",,,,,,5,Y,Y,,Tierras Blancas,Ayapata,C4,Cr199,N,NA,653 - 569   ,598,1297 - 1381,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr93,LIP,Male,,16,Middle Adult,Y,2,Y,P,,,"X, X","L, R",X,R,"X, X",,Y,1,A,X,L,,,,,,3,Y,Y,,Tierras Blancas,Ayapata,C4,Cr200,Y,AO,649 - 564  ,600,1301 - 1386,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr94,LIP,Female,,6,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C4,Cr202,Y,AO,545 - 518   ,532,1307 - 1430,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr95,LIP,Female,,5,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C4,Cr207,Y,AO,623 - 538    ,555,1297 - 1404,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr96,LIP,Male,,15,Middle Adult,N,0,N,,,,,,,,,,Y,6,A,"X, X, X, X","L, R","X, X","L, R",,,,6,Y,Y,,Tierras Blancas,Ayapata,C4,Cr208,Y,AO,635 - 559   ,605,1315 - 1391,LIP,PIII
Tierras Blancas,Ayapata,C1,Cr97,LIP,Ind,,NA,Child,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C4,Cr209,Y,AO,630 - 557    ,608,1320 - 1393,LIP,PIII
